SL_NO,Brand,Model,Announced,Audio_jack,Battery,Bluetooth,CPU,Chipset,Colors,Dimensions,Display_type,GPU,Internal_memory,Loud_speaker,Memory_card,Network,Operating_System,Primary_camera,RAM,Radio,SIM,Secondary_camera,Sensors,Status,USB
120,Asus,P527,2007 September. Released 2008 October,No,Removable Li-Ion battery,2,200 MHz ARM926EJ-S,TI OMAP 850,Silver,113 x 58 x 15.4 mm (4.45 x 2.28 x 0.61 in),TFT resistive touchscreen 65K colors,(undefined),128 MB,No,microSD (dedicated slot),GSM,Microsoft Windows Mobile 6.0 Professional,2 MP| autofocus,64 MB RAM,FM radio,Mini-SIM,No,(undefined),Discontinued,1.1
121,Asus,Transformer Book Trio,2013 September,Yes,Non-removable Li-Po battery (19 Wh),3,(undefined),Intel Atom,Black,304.8 x 193 x 9.7 mm (12.00 x 7.60 x 0.38 in),IPS LCD capacitive touchscreen 16M colors,(undefined),16/32/64 GB,Yes,microSD up to 64 GB (dedicated slot),No cellular connectivity,Android 4.2 (Jelly Bean),5 MP| autofocus,2 GB RAM,No,No,1.2 MP| 720p,Accelerometer| gyro| compass,Available. Released 2013 September,microUSB 2.0
122,Asus,Transformer Pad TF303CL,2014 June,Yes,Non-removable Li-Po battery (25 Wh),4.0| A2DP,Quad-core 1.86 GHz,Intel Atom Z3745,Blue| Gold,257.4 x 178.4 x 9.9 mm (10.13 x 7.02 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,Intel Gen 7 (Ivy Bridge),16/32 GB,Yes with stereo speakers,microSD up to 64 GB (dedicated slot),GSM / HSPA / LTE,Android 4.4.2 (KitKat),5 MP,2 GB RAM,No,Yes,1.2 MP,Accelerometer| gyro| compass,Available. Released 2014 Q3,microUSB 2.0
123,Asus,Fonepad 7 FE375CXG,2014 September,Yes,Non-removable Li-Po battery (15 Wh),4.0| A2DP,Quad-core 1.33 GHz,Intel Atom Z3530,Black| White| Red| Gold,194.3 x 108.9 x 9.8 mm (7.65 x 4.29 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,PowerVR G6430,8/16 GB,Yes with stereo speakers,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.4.2 (KitKat),2 MP,1 GB RAM,No,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),VGA,Accelerometer| proximity| compass,Available. Released 2014 September,microUSB 2.0| USB Host| USB OTG
124,Asus,P835,2009 March. Released 2009 May,No,Removable Li-Ion 1100 mAh battery,2.0| A2DP,528 MHz ARM 11,Qualcomm MSM7201A,Black,115 x 59 x 13.8 mm (4.53 x 2.32 x 0.54 in),TFT resistive touchscreen 65K colors,(undefined),4 GB,Yes,microSD up to 16 GB (dedicated slot),GSM / HSPA,Microsoft Windows Mobile 6.1 Professional,5 MP| autofocus,288 MB RAM| 256 MB ROM,No,Mini-SIM,Yes,(undefined),Discontinued,2
125,Asus,Memo Pad 10 ME103K,2014 October,Yes,Non-removable Li-Po battery (19 Wh),4.0| A2DP,Quad-core 1.4 GHz Krait,Qualcomm Snapdragon S4 Pro,White| Black,256 x 174 x 9.9 mm (10.08 x 6.85 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,Adreno 320,8/16/32 GB,Yes with stereo speakers,microSD up to 64 GB (dedicated slot),No cellular connectivity,Android 4.4.2 (KitKat),5 MP or 2 MP,1 GB RAM,No,No,VGA,Accelerometer| compass,Available. Released 2014 November,microUSB 2.0
126,Asus,Z801,(undefined),No,Removable Li-Ion 750 mAh battery,1.2| A2DP,(undefined),(undefined),Silver,92 x 46 x 23.5 mm (3.62 x 1.81 x 0.93 in),TFT resistive touchscreen 256K colors,(undefined),64 MB,No,microSD (dedicated slot),GSM,(undefined),2 MP| LED flash,(undefined),FM radio,Mini-SIM,No,(undefined),Discontinued,1.1
127,Asus,Zenfone Go ZB452KG,2016 April,Yes,Removable Li-Po 2070 mAh battery,4.0| A2DP| EDR,Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8212 Snapdragon 200,Lemon Yellow| Charcoal Black| Pearl White| Glacier Gray| Sheer Gold| Glamour Red| Silver Blue,136.5 x 66.7 x 11.2 mm (5.37 x 2.63 x 0.44 in),IPS LCD capacitive touchscreen 16M colors,Adreno 302,8 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 5.1 (Lollipop),5 MP or 8 MP| f/2.0| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),VGA| f/2.8 or 2 MP| f/2.4,Accelerometer| proximity| compass,Available. Released 2016 April,microUSB 2.0
128,Asus,P550,2007 December. Released 2008,No,Removable Li-Ion 1530 mAh battery,2,Marvell PXA270M 520 MHz,(undefined),Silver,121 x 70 x 16.5 mm (4.76 x 2.76 x 0.65 in),TFT resistive touchscreen 65K colors,(undefined),256 MB,No,miniSD miniSDHC,GSM / UMTS,Microsoft Windows Mobile 6.0 Professional,2 MP,64 MB RAM,No,Mini-SIM,No,(undefined),Discontinued,1.1
129,Asus,Zenpad 3 8.0 Z581KL,2016 December,Yes,Non-removable Li-Po 4680 mAh battery (18 Wh),4.1| A2DP| LE| aptX,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A72),Qualcomm MSM8956 Snapdragon 650,Black,205.4 x 136.4 x 7.6 mm (8.09 x 5.37 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,Adreno 510,32 GB,Yes with stereo speakers,microSD up to 256 GB,GSM / HSPA / LTE,Android 6.0 (Marshmallow),8 MP,4 GB RAM,No,Micro-SIM,2 MP,Accelerometer| gyro| proximity| compass,Available. Released 2017 January,Type-C 1.0 reversible connector
130,Asus,Zenfone Go ZB450KL,2016 July,Yes,Removable Li-Po 2070 mAh battery,4.0| A2DP| EDR,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,Glacier Grey/Silver| Blue/Sheer Gold| Charcoal Black| Pearl White| Glamor Red| Lemon Yellow,136.5 x 66.7 x 11.2 mm (5.37 x 2.63 x 0.44 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,8 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0 (Marshmallow),8 MP| f/2.0| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),2 MP| f/2.4,Accelerometer| proximity| compass,Available. Released 2016 August,microUSB 2.0| USB On-The-Go
131,Asus,Zenpad 3S 10 Z500M,2016 July,Yes,Non-removable Li-Po 5900 mAh battery (22 Wh),4.2| A2DP| LE| EDR| aptX,Hexa-core (2x2.1 GHz & 4x1.7 GHz),Mediatek MT8176,Silver| Grey,240.5 x 163.7 x 7.2 mm (9.47 x 6.44 x 0.28 in),IPS LCD capacitive touchscreen 16M colors, GLONASS,(undefined),32/64 GB,Yes with stereo speakers,(undefined),(undefined),Android 6.0 (Marshmallow),8 MP,4 GB RAM,(undefined),No,5 MP| 1080p,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,
132,Asus,Zenpad Z10 ZT500KL,2016 October,Yes,Non-removable Li-Po 7800 mAh battery,4.2| A2DP| LE,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A72),Qualcomm MSM8956 Snapdragon 650,Gray,242.3 x 166.1 x 7.1 mm (9.54 x 6.54 x 0.28 in),IPS LCD capacitive touchscreen 16M colors,Adreno 510,32 GB,Yes with stereo speakers,microSD up to 256 GB (dedicated slot),LTE,Android 6.0 (Marshmallow),8 MP,3 GB RAM,No,Nano-SIM,5 MP| 1080p,Accelerometer| gyro| proximity| compass,Available. Released 2016 October,Type-C 1.0 reversible connector
133,Asus,Zenfone Pegasus 3s,2017 January,Yes,Non-removable Li-Ion 5000 mAh battery,4.0| A2DP,Octa-core 1.5 GHz Cortex-A53,Mediatek MT6750,Gold| silver| gray| rose gold,149.5 x 73.7 x 8.6 mm (5.89 x 2.90 x 0.34 in),IPS LCD capacitive touchscreen 16M colors,Mali-T860MP2,32/64 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 7.0 (Nougat),13 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash,3 GB RAM,FM radio,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),8 MP| f/2.0,Fingerprint (front-mounted)| accelerometer| proximity| compass,Cancelled,microUSB 2.0
134,Asus,Zenfone 3 Laser ZC551KL,2016 July,Yes,Non-removable Li-Ion 3000 mAh battery,4.2| A2DP| EDR| LE,Octa-core 1.4 GHz Cortex-A53,Qualcomm MSM8937 Snapdragon 430,Sand Gold| Glacier Silver,149 x 76 x 7.9 mm (5.87 x 2.99 x 0.31 in),IPS LCD capacitive touchscreen 16M colors,Adreno 505,32 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0.1 (Marshmallow)| upgradable to 7.0 (Nougat),13 MP| f/2.0| laser autofocus| dual-LED (dual tone) flash,2 GB RAM or 64 GB| 4 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),8 MP| f/2.0,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 August,microUSB 2.0
135,Asus,Memo Pad 8 ME180A,2013 September,Yes,Non-removable Li-Po 3950 mAh battery,3.0| EDR,Quad-core 1.6 GHz Cortex-A9,(undefined),Gray| White| Pink,212.4 x 127.4 x 10 mm (8.36 x 5.02 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,(undefined),16 GB,Yes with stereo speakers,microSD up to 64 GB (dedicated slot),No cellular connectivity,Android 4.2.2 (Jelly Bean),5 MP,1 GB RAM,No,No,1.2 MP,Accelerometer| proximity| compass,Available. Released 2013 November,microUSB 2.0
136,Asus,Zenfone Max ZC550KL (2016),2016 May,Yes,Non-removable Li-Po 5000 mAh battery,4.0| A2DP| EDR,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,Black| White| Orange| Blue,156 x 77.5 x 10.6 mm (6.14 x 3.05 x 0.42 in),IPS LCD capacitive touchscreen 16M colors,Adreno 405,32 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA / LTE,Android 6.0.1 (Marshmallow),13 MP| f/2.0| laser autofocus| dual-LED (dual tone) flash,2 GB RAM or 3 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),5 MP| f/2.0,Accelerometer| proximity| compass,Available. Released 2016 May,microUSB 2.0| USB On-The-Go
137,Asus,Zenfone 2 Laser ZE600KL,2015 October,Yes,Removable Li-Po 3000 mAh battery,4.1| A2DP| EDR,Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,Glacier Gray| Sheer Gold| Glamour Red,164.6 x 84 x 10.6 mm (6.48 x 3.31 x 0.42 in),IPS LCD capacitive touchscreen 16M colors,Adreno 405,16 GB,Yes dual speakers,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 5.0 (Lollipop)| planned upgrade to 6.0 (Marshmallow),13 MP| f/2.0| laser autofocus| dual-LED (dual tone) flash,2 GB RAM,No,Dual SIM (Micro-SIM| dual stand-by),5 MP| f/2.0,Accelerometer| gyro| proximity| compass,Available. Released 2016 January,microUSB 2.0
138,Asus,Zenfone 3 Deluxe ZS570KL,2016 May,Yes,Non-removable Li-Ion 3000 mAh battery,4.2| A2DP| EDR| LE,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Qualcomm MSM8996 Snapdragon 820,Glacier Silver| Titanium Gray| Shimmer Gold,156.4 x 77.4 x 7.5 mm (6.16 x 3.05 x 0.30 in),Super AMOLED capacitive touchscreen 16M colors,Adreno 530,64/128/256 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0.1 (Marshmallow),23 MP| f/2.0| laser/phase detection autofocus| OIS (4-axis)| dual-LED (dual tone) flash,4/6 GB RAM,No,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by| dual active),8 MP| f/2.0| 1080p,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 August,3.0| Type-C 1.0 reversible connector
139,Asus,PadFone X,2014 March,Yes,Non-removable Li-Po 2300 mAh battery,4.0| A2DP,Quad-core 2.3 GHz Krait 400,Qualcomm Snapdragon 800,Titanium Black| Platinum White,143.4 x 72.5 x 10 mm (5.65 x 2.85 x 0.39 in),Super IPS+ LCD capacitive touchscreen 16M colors,Adreno 330,16 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA / LTE,Android 4.4.2 (KitKat),13 MP| autofocus| LED flash,2 GB RAM,No,Micro-SIM,2 MP| 1080p@25fps,Accelerometer| gyro| proximity| compass,Available. Released 2014 July,microUSB 2.0 (SlimPort TV-out)| USB Host
140,Asus,Zenfone 2 Laser ZE500KG,2015 August,Yes,Removable Li-Ion battery,4.0| A2DP| EDR,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,Black| Ceramic White| Silver| Sheer Gold| Glamour Red,143.7 x 71.5 x 10.5 mm (5.66 x 2.81 x 0.41 in),TFT capacitive touchscreen 16M colors,Adreno 306,8/16 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA,Android 5.0 (Lollipop)| planned upgrade to 6.0 (Marshmallow),8 MP| f/2.0| laser autofocus| dual-LED (dual tone) flash,2 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),5 MP| f/2.0| autofocus,Accelerometer| compass,Available. Released 2015 October,microUSB 2.0
141,Asus,Zenfone 3s Max ZC521TL,2017 January,Yes,Non-removable Li-Po 5000 mAh battery,4.0| A2DP| EDR,Octa-core 1.5 GHz Cortex-A53,Mediatek MT6750,Gold| Black,8.9 mm thickness,IPS LCD capacitive touchscreen 16M colors,Mali-T860MP2,32 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 7.0 (Nougat),13 MP| f/2.0| autofocus| dual-LED (dual tone) flash,3 GB RAM,FM radio,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),8 MP,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2017 February,microUSB 2.0| USB On-The-Go
142,Asus,Transformer Pad TF701T,2013 June,Yes,Non-removable Li-Po battery (31 Wh),3.0| A2DP| EDR,Quad-core 1.9 GHz Cortex-A15,Nvidia Tegra 4 T40X,Silver,263 x 180.8 x 8.9 mm (10.35 x 7.12 x 0.35 in),Super IPS+ LCD capacitive touchscreen 16M colors,ULP GeForce,32/64 GB,Yes,microSD up to 64 GB (dedicated slot),No cellular connectivity,Android 4.2 (Jelly Bean),5 MP| autofocus|,2 GB RAM,No,No,1.2 MP| 720p,Accelerometer| gyro| compass,Available. Released 2013 November,microUSB 2.0
143,Asus,M530w,2007 May. Released 2008 April,No,Removable Li-Ion 1200 mAh battery,2.0| A2DP,32-bit Intel XScale PXA270 416 MHz,(undefined),Black| White,117 x 65 x 13.8 mm (4.61 x 2.56 x 0.54 in),TFT 65K colors,(undefined),256 MB,No,microSD (dedicated slot),GSM / UMTS,Microsoft Windows Mobile 6 Standard,2 MP,64 MB RAM,No,Mini-SIM,VGA videocall camera,(undefined),Discontinued,1.1
144,Asus,M303,2006 March,No,Removable Li-Ion 700 mAh battery,No,(undefined),(undefined),Silver| Pink| Black,83 x 43 x 22.9 mm (3.27 x 1.69 x 0.90 in),TFT 256K colors,(undefined),(undefined),No,miniSD,GSM,(undefined),1.3 MP| LED flash,(undefined),No,Mini-SIM,No,(undefined),Discontinued,No
145,Asus,Zenfone 6 A601CG,2014 January,Yes,Non-removable Li-Po 3230 mAh battery,4.0| A2DP| EDR,Dual-core 1.6 GHz,Intel Atom Z2560,Charcoal Black| Pearl White| Cherry Red| Champagne Gold,166.9 x 84.3 x 9.9 mm (6.57 x 3.32 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,PowerVR SGX544MP2,16/32 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.3 (Jelly Bean)| upgradable to 5.0.2 (Lollipop),13 MP| autofocus| LED flash,2 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),2 MP,Accelerometer| gyro| proximity| compass,Available. Released 2014 May,microUSB 2.0
146,Asus,Zenpad S 8.0 Z580C,2015 June,Yes,Non-removable Li-Po battery (15.2 Wh),4.1| LE,Quad-core,Intel Atom Z3530,Black| White,203.2 x 134.5 x 6.9 mm (8.0 x 5.30 x 0.27 in),IPS LCD capacitive touchscreen 16M colors,PowerVR G6430,16/32 GB,Yes with stereo speakers,microSD up to 256 GB (dedicated slot),No cellular connectivity,Android 5.0 (Lollipop),5 MP,2 GB RAM,To be confirmed,No,2 MP,Accelerometer| compass,Available. Released 2015 August,microUSB 2.0
147,Asus,Zenfone 3 Max ZC520TL,2016 July,Yes,Non-removable Li-Po 4130 mAh battery,4.0| A2DP| EDR,Quad-core 1.25 GHz Cortex-A53,Mediatek MT6737M,Titanium Grey| Glacier Silver| Sand Gold,149.5 x 73.7 x 8.6 mm (5.89 x 2.90 x 0.34 in),IPS LCD capacitive touchscreen 16M colors,Mali-T720MP2,16 GB,Yes,microSD up to 32 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0.1 (Marshmallow),13 MP| f/2.2| autofocus| LED flash,2 GB RAM or 32 GB| 3 GB RAM,FM radio,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),5 MP| f/2.0,Fingerprint (rear-mounted)| accelerometer| proximity| compass,Available. Released 2016 August,microUSB 2.0| USB On-The-Go
148,Asus,Memo Pad 8 ME581CL,2014 June,Yes,Non-removable Li-Po battery (15.2 Wh),4.0| A2DP,Quad-core 2.3 GHz,Intel Atom Z3580,White| Pink| Blue,213 x 123 x 7.5 mm (8.39 x 4.84 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,PowerVR G6430,16/32 GB,Yes with stereo speakers,No,GSM / HSPA / LTE,Android 4.4.2 (KitKat),5 MP,2 GB RAM,No,Yes,1.2 MP,Accelerometer| gyro| compass,Available. Released 2014 Q3,microUSB 2.0
149,Asus,Zenwatch 2 WI502Q,2015 September,No,Non-removable Li-Ion 300 mAh battery,4.1| LE,Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8926 Snapdragon 400,Gunmetal| Silver| Rose gold,45.2 x 37.2 x 11.8 mm (1.78 x 1.46 x 0.46 in),AMOLED capacitive touchscreen 16M colors,Adreno 305,4 GB,Yes,No,No cellular connectivity,Android Wear OS,(undefined),512 MB RAM,No,No,(undefined),Accelerometer,Available. Released 2015 September,No
150,Asus,Zenpad 3S 10 Z500KL,2017 January,Yes,Non-removable Li-Po 7800 mAh battery (30 Wh),4.1| A2DP| LE| EDR| aptX,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A72),Qualcomm MSM8956 Snapdragon 650,Silver| Grey,242.3 x 164.2 x 6.8 mm (9.54 x 6.46 x 0.27 in),IPS LCD capacitive touchscreen 16M colors, GLONASS,Adreno 510,32 GB,Yes with stereo speakers,(undefined),HSPA LTE,Android 6.0 (Marshmallow),8 MP| autofocus,4 GB RAM,No,Dual SIM (Nano-SIM| dual stand-by),5 MP| 1080p,Accelerometer| gyro| proximity| compass,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)
151,Asus,Zenfone 6 A600CG,2014 January,Yes,Non-removable Li-Po 3300 mAh battery (12 Wh),4.0| A2DP| EDR,Dual-core 2.0 GHz,Intel Atom Z2580,Charcoal Black| Pearl White| Cherry Red| Champagne Gold,166.9 x 84.3 x 9.9 mm (6.57 x 3.32 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,PowerVR SGX544MP2,16/32 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.3 (Jelly Bean)| upgradable to 5.0.2 (Lollipop),13 MP| f/2.0| autofocus| LED flash,2 GB RAM,No,Dual SIM (Micro-SIM| dual stand-by),2 MP,Accelerometer| gyro| proximity| compass,Available. Released 2014 May,microUSB 2.0
152,Asus,Zenfone 4,2014 January,Yes,Removable Li-Po 1200/1600 mAh battery,4.0| A2DP| EDR,Dual-core 1.2 GHz,Intel Atom Z2520,Charcoal Black| Pearl White| Cherry Red| Sky Blue| Solar Yellow,124.4 x 61.4 x 6.3-11.2,TFT capacitive touchscreen 16M colors,PowerVR SGX544MP2,4/8 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.3 (Jelly Bean)| upgradable to 4.4.2 (KitKat),5 MP| autofocus,1 GB RAM,No,Dual SIM (Micro-SIM| dual stand-by),Yes,Accelerometer| proximity,Available. Released 2014 May,microUSB 2.0
153,Asus,Zenwatch 3 WI503Q,2016 August,No,Non-removable Li-Ion 341 mAh battery,4.1| LE,Quad-core,Qualcomm Snapdragon Wear 2100,Gunmetal| Silver| Rose gold,45 x 45 x 10.8 mm (1.77 x 1.77 x 0.43 in),AMOLED capacitive touchscreen 16M colors,(undefined),4 GB,Yes,No,No cellular connectivity,Android Wear OS 2.0,(undefined),512 MB RAM,No,No,(undefined),Accelerometer| gyro,Available. Released 2016 December,No
154,Asus,Zenpad C 7.0,2015 June,Yes,Non-removable Li-Po battery (13 Wh),4.0| A2DP,Quad-core,Intel Atom x3-C3200,Black| White| Red| Aurora Metallic,189 x 108 x 8.4 mm (7.44 x 4.25 x 0.33 in),IPS LCD capacitive touchscreen 16M colors,Mali-450MP4,8/16 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 5.0 (Lollipop),5 MP| f/2.0 or 2 MP,1 GB RAM,No,Micro-SIM,VGA,Accelerometer,Available. Released 2015 July,microUSB 2.0
155,Asus,Memo Pad 7 ME572C,2014 September,Yes,Non-removable Li-Po 15 Wh,4.0| A2DP,Quad-core 1.83 GHz,Intel Atom Z3560,Burgundy Red| Champagne Gold|Gentle Black,200 x 114.4 x 8.3 mm (7.87 x 4.50 x 0.33 in),IPS LCD capacitive touchscreen 16M colors,PowerVR G6430,16/32 GB,Yes with stereo speakers,microSD up to 64 GB (dedicated slot),No cellular connectivity,Android 4.4.2 (KitKat),5 MP|,2 GB RAM,No,No,2 MP,Accelerometer| gyro| compass,Available. Released 2014 November,microUSB 2.0| USB Host
156,Asus,Zenpad 8.0 Z380M,2016 April,Yes,Non-removable Li-Po 4000 mAh battery (15.2 Wh),4.0| A2DP| LE| aptX,(undefined),Mediatek MT8163,Dark Gray| Pearl White| Rose Gold,209 x 123 x 8.5 mm (8.23 x 4.84 x 0.33 in),IPS LCD capacitive touchscreen 16M colors,Mali-T720MP2,8 GB,Yes,microSD up to 256 GB (dedicated slot),No cellular connectivity,Android 6.0 (Marshmallow)| upgradable to 7.0 (Nougat),5 MP| autofocus,1 GB RAM,No,No,2 MP| f/2.2,Accelerometer| compass,Available. Released 2016 May,microUSB 2.0
157,Asus,Zenpad 10 Z300M,2016 May,Yes,Non-removable battery (18 Wh),4.0| aptX,Quad-core 1.5 GHz Cortex-A53,Mediatek MT8163,Dark Gray| Pearl White| Rose Gold,251.6 x 172 x 7.9 mm (9.91 x 6.77 x 0.31 in),IPS LCD capacitive touchscreen 16M colors,Mali-T720MP2,16/32 GB,Yes with stereo speakers,microSD up to 256 GB (dedicated slot),No cellular connectivity,Android 6.0 (Marshmallow),5 MP| autofocus,2 GB RAM,To be confirmed,No,2 MP,Accelerometer| compass,Available. Released 2016 May,microUSB 2.0
158,Asus,Zenpad 10 Z300C,2015 June,Yes,Non-removable battery (18 Wh),4.0| A2DP,Quad-core,Intel Atom x3-C3200,Black| White| Aurora Metallic,251.6 x 172 x 7.9 mm (9.91 x 6.77 x 0.31 in),IPS LCD capacitive touchscreen 16M colors,Mali-450MP4,8/16/32 GB,Yes with stereo speakers,microSD up to 64 GB (dedicated slot),No cellular connectivity,Android 5.0 (Lollipop),5 MP| autofocus or 2 MP| fixed focus,2 GB RAM,To be confirmed,No,2 MP,Accelerometer| compass,Available. Released 2015 June,microUSB 2.0
159,Asus,Zenfone Go ZC500TG,2015 August,Yes,Removable Li-Po 2070 mAh battery,4.0| A2DP,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6580,Black| White| Red,144.5 x 71 x 10 mm (5.69 x 2.80 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,Mali-400MP2,8/16 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 5.1 (Lollipop),8 MP| f/2.0| autofocus| LED flash,2 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),2 MP| f/2.4,Accelerometer| proximity| compass,Available. Released 2015 August,microUSB 2.0
160,Asus,Zenfone 2 ZE551ML,2015 January,Yes,Non-removable Li-Po 3000 mAh battery,4.0| A2DP| EDR,Quad-core 2.3 GHz (4 GB RAM model),Intel Atom Z3580 (4 GB RAM model),Osmium Black| Sheer Gold| Glacier Gray| Glamor Red| Ceramic White,152.5 x 77.2 x 10.9 mm (6.00 x 3.04 x 0.43 in),IPS LCD capacitive touchscreen 16M colors,PowerVR G6430,16/32/64 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 5.0 (Lollipop)| upgradable to 6.0 (Marshmallow),13 MP| f/2.0| autofocus| dual-LED (dual tone) flash|,2/4 GB RAM,FM radio| RDS,Dual SIM (Micro-SIM| dual stand-by| dual active),5 MP| f/2.0,Accelerometer| gyro| proximity| compass,Available. Released 2015 March,microUSB 2.0| USB Host
161,Asus,Zenfone 2 Laser ZE601KL,2015 August,Yes,Removable Li-Po 3000 mAh battery,4.1| A2DP| EDR,Octa-core (4x1.7 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Qualcomm MSM8939v2 Snapdragon 616,Glacier Gray| Sheer Gold| Glamour Red,164.6 x 84 x 10.6 mm (6.48 x 3.31 x 0.42 in),IPS LCD capacitive touchscreen 16M colors,Adreno 405,16 GB,Yes dual speakers,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 5.0 (Lollipop)| planned upgrade to 6.0 (Marshmallow),13 MP| f/2.0| laser autofocus| dual-LED (dual tone) flash,2 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),5 MP| f/2.0,Accelerometer| gyro| proximity| compass,Available. Released 2015 December,microUSB 2.0
162,Asus,Zenfone 2E,2015 July,Yes,Non-removable Li-Po 2500 mAh battery,4.0| A2DP,Dual-core 1.6 GHz,Intel Atom Z2560,Charcoal Black| Pearl White,148.1 x 71.4 x 10.9 mm (5.83 x 2.81 x 0.43 in),IPS LCD capacitive touchscreen 16M colors,PowerVR SGX544MP2,8 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA / LTE,Android 5.0 (Lollipop),8 MP| autofocus| LED flash,1 GB RAM,To be confirmed,Micro-SIM,2 MP,Accelerometer| proximity| compass,Available. Released 2015 July,microUSB 2.0
163,Asus,Zenfone Zoom ZX551ML,2015 September,Yes,Non-removable Li-Po 3000 mAh battery,4.0| A2DP| EDR,Quad-core 2.5 GHz,Intel Atom Z3590,Pure Black| Ceramic White,158.9 x 78.8 x 12 mm (6.26 x 3.10 x 0.47 in),IPS LCD capacitive touchscreen 16M colors,PowerVR G6430,32/64/128 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 5.0 (Lollipop)| upgradable to 6.0 (Marshmallow),13 MP| f/2.7-4.8| 28-84mm (3x optical zoom)| laser autofocus| OIS| dual-LED (dual tone) flash,4 GB RAM,No,Micro-SIM,5 MP| f/2.0,Accelerometer| gyro| proximity| compass,Available. Released 2015 December,microUSB 2.0
